scenario,training_seed,evaluation_episode,evaluation_seed,robot_random_seed,robot_count,astar_reference_path_length_m,existing_average_path_length_m,executed_to_astar_ratio,paired_draw_id
static_clutter,7,1,70001,70001210004,4,21.112670543299004,,,main_static_clutter_s7_q1
static_clutter,7,2,70002,70002210008,4,21.175170543299004,,,main_static_clutter_s7_q2
static_clutter,7,3,70003,70003210012,4,21.237670543299004,,,main_static_clutter_s7_q3
static_clutter,7,4,70004,70004210016,4,21.362670543299007,,,main_static_clutter_s7_q4
static_clutter,7,5,70005,70005210020,4,21.112670543299004,,,main_static_clutter_s7_q5
static_clutter,7,6,70006,70006210024,4,21.300170543299007,,,main_static_clutter_s7_q6
static_clutter,7,7,70007,70007210028,4,21.362670543299007,,,main_static_clutter_s7_q7
static_clutter,7,8,70008,70008210032,4,21.050170543299004,,,main_static_clutter_s7_q8
static_clutter,7,9,70009,70009210036,4,21.237670543299007,,,main_static_clutter_s7_q9
pedestrian_dynamic,0,0,100,100000300,4,12.81917639405518,,,main_pedestrian_dynamic_s0_q0
pedestrian_dynamic,0,1,101,101000304,4,12.81177776017968,,,main_pedestrian_dynamic_s0_q1
pedestrian_dynamic,0,2,102,102000308,4,12.811162333411438,,,main_pedestrian_dynamic_s0_q2
pedestrian_dynamic,0,3,103,103000312,4,12.805793447240564,,,main_pedestrian_dynamic_s0_q3
pedestrian_dynamic,0,4,104,104000316,4,12.824997551414917,,,main_pedestrian_dynamic_s0_q4
pedestrian_dynamic,0,5,105,105000320,4,12.810640203463507,,,main_pedestrian_dynamic_s0_q5
pedestrian_dynamic,0,6,106,106000324,4,12.78115037351528,,,main_pedestrian_dynamic_s0_q6
pedestrian_dynamic,0,7,107,107000328,4,12.804005052180417,,,main_pedestrian_dynamic_s0_q7
pedestrian_dynamic,0,8,108,108000332,4,12.808740504585314,,,main_pedestrian_dynamic_s0_q8
pedestrian_dynamic,0,9,109,109000336,4,12.813548243343924,,,main_pedestrian_dynamic_s0_q9
pedestrian_dynamic,1,0,10100,10100030300,4,12.814596412000064,,,main_pedestrian_dynamic_s1_q0
pedestrian_dynamic,1,1,10101,10101030304,4,12.803828333663295,,,main_pedestrian_dynamic_s1_q1
pedestrian_dynamic,1,2,10102,10102030308,4,12.801978388869468,,,main_pedestrian_dynamic_s1_q2
pedestrian_dynamic,1,3,10103,10103030312,4,12.815053850595474,,,main_pedestrian_dynamic_s1_q3
pedestrian_dynamic,1,4,10104,10104030316,4,12.809313662462364,,,main_pedestrian_dynamic_s1_q4
pedestrian_dynamic,1,5,10105,10105030320,4,12.816980018501699,,,main_pedestrian_dynamic_s1_q5
pedestrian_dynamic,1,6,10106,10106030324,4,12.825445898887388,,,main_pedestrian_dynamic_s1_q6
pedestrian_dynamic,1,7,10107,10107030328,4,12.802117294073748,,,main_pedestrian_dynamic_s1_q7
pedestrian_dynamic,1,8,10108,10108030332,4,12.811615400911904,,,main_pedestrian_dynamic_s1_q8
pedestrian_dynamic,1,9,10109,10109030336,4,12.805680017814547,,,main_pedestrian_dynamic_s1_q9
pedestrian_dynamic,2,0,20100,20100060300,4,12.804109578820405,,,main_pedestrian_dynamic_s2_q0
pedestrian_dynamic,2,1,20101,20101060304,4,12.822649596590797,,,main_pedestrian_dynamic_s2_q1
pedestrian_dynamic,2,2,20102,20102060308,4,12.779268248675553,,,main_pedestrian_dynamic_s2_q2
pedestrian_dynamic,2,3,20103,20103060312,4,12.800829787927892,,,main_pedestrian_dynamic_s2_q3
pedestrian_dynamic,2,4,20104,20104060316,4,12.83173178094946,,,main_pedestrian_dynamic_s2_q4
pedestrian_dynamic,2,5,20105,20105060320,4,12.820057569665618,,,main_pedestrian_dynamic_s2_q5
pedestrian_dynamic,2,6,20106,20106060324,4,12.836794237177028,,,main_pedestrian_dynamic_s2_q6
pedestrian_dynamic,2,7,20107,20107060328,4,12.807213180249367,,,main_pedestrian_dynamic_s2_q7
pedestrian_dynamic,2,8,20108,20108060332,4,12.766659318350294,,,main_pedestrian_dynamic_s2_q8
pedestrian_dynamic,2,9,20109,20109060336,4,12.799189219651934,,,main_pedestrian_dynamic_s2_q9
pedestrian_dynamic,3,0,30100,30100090300,4,12.80874291378798,,,main_pedestrian_dynamic_s3_q0
pedestrian_dynamic,3,1,30101,30101090304,4,12.800802046149487,,,main_pedestrian_dynamic_s3_q1
pedestrian_dynamic,3,2,30102,30102090308,4,12.779665841364753,,,main_pedestrian_dynamic_s3_q2
pedestrian_dynamic,3,3,30103,30103090312,4,12.82540109790331,,,main_pedestrian_dynamic_s3_q3
pedestrian_dynamic,3,4,30104,30104090316,4,12.791704697311225,,,main_pedestrian_dynamic_s3_q4
pedestrian_dynamic,3,5,30105,30105090320,4,12.801113094048903,,,main_pedestrian_dynamic_s3_q5
pedestrian_dynamic,3,6,30106,30106090324,4,12.823971166962288,,,main_pedestrian_dynamic_s3_q6
pedestrian_dynamic,3,7,30107,30107090328,4,12.801247536151184,,,main_pedestrian_dynamic_s3_q7
pedestrian_dynamic,3,8,30108,30108090332,4,12.822643433914605,,,main_pedestrian_dynamic_s3_q8
pedestrian_dynamic,3,9,30109,30109090336,4,12.807599855014459,,,main_pedestrian_dynamic_s3_q9
pedestrian_dynamic,4,0,40100,40100120300,4,12.81285702206771,,,main_pedestrian_dynamic_s4_q0
pedestrian_dynamic,4,1,40101,40101120304,4,12.800201093584278,,,main_pedestrian_dynamic_s4_q1
pedestrian_dynamic,4,2,40102,40102120308,4,12.7837037479835,,,main_pedestrian_dynamic_s4_q2
pedestrian_dynamic,4,3,40103,40103120312,4,12.828009928808012,,,main_pedestrian_dynamic_s4_q3
pedestrian_dynamic,4,4,40104,40104120316,4,12.809957995338792,,,main_pedestrian_dynamic_s4_q4
pedestrian_dynamic,4,5,40105,40105120320,4,12.798222662117624,,,main_pedestrian_dynamic_s4_q5
pedestrian_dynamic,4,6,40106,40106120324,4,12.791673727126724,,,main_pedestrian_dynamic_s4_q6
pedestrian_dynamic,4,7,40107,40107120328,4,12.826250980426384,,,main_pedestrian_dynamic_s4_q7
pedestrian_dynamic,4,8,40108,40108120332,4,12.81716058440848,,,main_pedestrian_dynamic_s4_q8
pedestrian_dynamic,4,9,40109,40109120336,4,12.799744024666659,,,main_pedestrian_dynamic_s4_q9
pedestrian_dynamic,5,0,50100,50100150300,4,12.8252153302981,,,main_pedestrian_dynamic_s5_q0
pedestrian_dynamic,5,1,50101,50101150304,4,12.820147816425266,,,main_pedestrian_dynamic_s5_q1
pedestrian_dynamic,5,2,50102,50102150308,4,12.794873036835883,,,main_pedestrian_dynamic_s5_q2
pedestrian_dynamic,5,3,50103,50103150312,4,12.803929545177766,,,main_pedestrian_dynamic_s5_q3
pedestrian_dynamic,5,4,50104,50104150316,4,12.808944891926053,,,main_pedestrian_dynamic_s5_q4
pedestrian_dynamic,5,5,50105,50105150320,4,12.80366340349306,,,main_pedestrian_dynamic_s5_q5
pedestrian_dynamic,5,6,50106,50106150324,4,12.823925677800675,,,main_pedestrian_dynamic_s5_q6
pedestrian_dynamic,5,7,50107,50107150328,4,12.824030465347652,,,main_pedestrian_dynamic_s5_q7
pedestrian_dynamic,5,8,50108,50108150332,4,12.812007105283945,,,main_pedestrian_dynamic_s5_q8
pedestrian_dynamic,5,9,50109,50109150336,4,12.80163422361736,,,main_pedestrian_dynamic_s5_q9
pedestrian_dynamic,6,0,60100,60100180300,4,12.789727711005721,,,main_pedestrian_dynamic_s6_q0
pedestrian_dynamic,6,1,60101,60101180304,4,12.830522784294574,,,main_pedestrian_dynamic_s6_q1
pedestrian_dynamic,6,2,60102,60102180308,4,12.781660321993066,,,main_pedestrian_dynamic_s6_q2
pedestrian_dynamic,6,3,60103,60103180312,4,12.818380701337833,,,main_pedestrian_dynamic_s6_q3
pedestrian_dynamic,6,4,60104,60104180316,4,12.802262288689759,,,main_pedestrian_dynamic_s6_q4
pedestrian_dynamic,6,5,60105,60105180320,4,12.808126681838138,,,main_pedestrian_dynamic_s6_q5
pedestrian_dynamic,6,6,60106,60106180324,4,12.783950935722096,,,main_pedestrian_dynamic_s6_q6
pedestrian_dynamic,6,7,60107,60107180328,4,12.802946172138174,,,main_pedestrian_dynamic_s6_q7
pedestrian_dynamic,6,8,60108,60108180332,4,12.815825880041178,,,main_pedestrian_dynamic_s6_q8
pedestrian_dynamic,6,9,60109,60109180336,4,12.80055131294049,,,main_pedestrian_dynamic_s6_q9
pedestrian_dynamic,7,0,70100,70100210300,4,12.799742091579231,,,main_pedestrian_dynamic_s7_q0
pedestrian_dynamic,7,1,70101,70101210304,4,12.809291819567704,,,main_pedestrian_dynamic_s7_q1
pedestrian_dynamic,7,2,70102,70102210308,4,12.792575057296165,,,main_pedestrian_dynamic_s7_q2
pedestrian_dynamic,7,3,70103,70103210312,4,12.787680473740734,,,main_pedestrian_dynamic_s7_q3
pedestrian_dynamic,7,4,70104,70104210316,4,12.796265786110043,,,main_pedestrian_dynamic_s7_q4
pedestrian_dynamic,7,5,70105,70105210320,4,12.823516064880748,,,main_pedestrian_dynamic_s7_q5
pedestrian_dynamic,7,6,70106,70106210324,4,12.81263731583897,,,main_pedestrian_dynamic_s7_q6
pedestrian_dynamic,7,7,70107,70107210328,4,12.787527766478336,,,main_pedestrian_dynamic_s7_q7
pedestrian_dynamic,7,8,70108,70108210332,4,12.813526876485707,,,main_pedestrian_dynamic_s7_q8
pedestrian_dynamic,7,9,70109,70109210336,4,12.821798009213138,,,main_pedestrian_dynamic_s7_q9
mixed_complex,0,0,200,200000600,4,23.0090988422824,,,main_mixed_complex_s0_q0
mixed_complex,0,1,201,201000604,4,23.134173114336903,,,main_mixed_complex_s0_q1
mixed_complex,0,2,202,202000608,4,22.932611322002224,,,main_mixed_complex_s0_q2
mixed_complex,0,3,203,203000612,4,23.05265466424367,,,main_mixed_complex_s0_q3
mixed_complex,0,4,204,204000616,4,23.17765466424367,,,main_mixed_complex_s0_q4
mixed_complex,0,5,205,205000620,4,23.138846042320715,,,main_mixed_complex_s0_q5
mixed_complex,0,6,206,206000624,4,22.994815813720173,,,main_mixed_complex_s0_q6
mixed_complex,0,7,207,207000628,4,23.052938394018412,,,main_mixed_complex_s0_q7
mixed_complex,0,8,208,208000632,4,22.99015466424367,,,main_mixed_complex_s0_q8
mixed_complex,0,9,209,209000636,4,23.009456844111654,,,main_mixed_complex_s0_q9
mixed_complex,1,0,10200,10200030600,4,22.99482759222748,,,main_mixed_complex_s1_q0
mixed_complex,1,1,10201,10201030604,4,23.138846042320715,,,main_mixed_complex_s1_q1
mixed_complex,1,2,10202,10202030608,4,22.884456844111654,,,main_mixed_complex_s1_q2
mixed_complex,1,3,10203,10203030612,4,23.115364121963907,,,main_mixed_complex_s1_q3
mixed_complex,1,4,10204,10204030616,4,22.946673114336903,,,main_mixed_complex_s1_q4
mixed_complex,1,5,10205,10205030620,4,23.17765466424367,,,main_mixed_complex_s1_q5
mixed_complex,1,6,10206,10206030624,4,23.11953208394543,,,main_mixed_complex_s1_q6
mixed_complex,1,7,10207,10207030628,4,23.05265466424367,,,main_mixed_complex_s1_q7
mixed_complex,1,8,10208,10208030632,4,23.201050534038664,,,main_mixed_complex_s1_q8
mixed_complex,1,9,10209,10209030636,4,23.052938394018412,,,main_mixed_complex_s1_q9
mixed_complex,2,0,20200,20200060600,4,22.932315813720173,,,main_mixed_complex_s2_q0
mixed_complex,2,1,20201,20201060604,4,23.057611322002224,,,main_mixed_complex_s2_q1
mixed_complex,2,2,20202,20202060608,4,22.946956844111654,,,main_mixed_complex_s2_q2
mixed_complex,2,3,20203,20203060612,4,23.1965988422824,,,main_mixed_complex_s2_q3
mixed_complex,2,4,20204,20204060616,4,22.865438394018412,,,main_mixed_complex_s2_q4
mixed_complex,2,5,20205,20205060620,4,23.134173114336903,,,main_mixed_complex_s2_q5
mixed_complex,2,6,20206,20206060624,4,23.18232759222748,,,main_mixed_complex_s2_q6
mixed_complex,2,7,20207,20207060628,4,22.99015466424367,,,main_mixed_complex_s2_q7
mixed_complex,2,8,20208,20208060632,4,23.052938394018412,,,main_mixed_complex_s2_q8
mixed_complex,2,9,20209,20209060636,4,23.240080392189157,,,main_mixed_complex_s2_q9
mixed_complex,3,0,30200,30200090600,4,23.18232759222748,,,main_mixed_complex_s3_q0
mixed_complex,3,1,30201,30201090604,4,22.946673114336903,,,main_mixed_complex_s3_q1
mixed_complex,3,2,30202,30202090608,4,23.17765466424367,,,main_mixed_complex_s3_q2
mixed_complex,3,3,30203,30203090612,4,23.138846042320715,,,main_mixed_complex_s3_q3
mixed_complex,3,4,30204,30204090616,4,23.134173114336903,,,main_mixed_complex_s3_q4
mixed_complex,3,5,30205,30205090620,4,23.009173114336903,,,main_mixed_complex_s3_q5
mixed_complex,3,6,30206,30206090624,4,23.07188257205714,,,main_mixed_complex_s3_q6
mixed_complex,3,7,30207,30207090628,4,23.05732759222748,,,main_mixed_complex_s3_q7
mixed_complex,3,8,30208,30208090632,4,23.115080392189157,,,main_mixed_complex_s3_q8
mixed_complex,3,9,30209,30209090636,4,23.057611322002224,,,main_mixed_complex_s3_q9
mixed_complex,4,0,40200,40200120600,4,23.052580392189157,,,main_mixed_complex_s4_q0
mixed_complex,4,1,40201,40201120604,4,23.052938394018412,,,main_mixed_complex_s4_q1
mixed_complex,4,2,40202,40202120608,4,22.990364121963907,,,main_mixed_complex_s4_q2
mixed_complex,4,3,40203,40203120612,4,23.014129772095465,,,main_mixed_complex_s4_q3
mixed_complex,4,4,40204,40204120616,4,22.7770500463701,,,main_mixed_complex_s4_q4
mixed_complex,4,5,40205,40205120620,4,23.009456844111654,,,main_mixed_complex_s4_q5
mixed_complex,4,6,40206,40206120624,4,23.057611322002224,,,main_mixed_complex_s4_q6
mixed_complex,4,7,40207,40207120628,4,23.201050534038664,,,main_mixed_complex_s4_q7
mixed_complex,4,8,40208,40208120632,4,23.0715988422824,,,main_mixed_complex_s4_q8
mixed_complex,4,9,40209,40209120636,4,23.134173114336903,,,main_mixed_complex_s4_q9
mixed_complex,5,0,50200,50200150600,4,23.1965988422824,,,main_mixed_complex_s5_q0
mixed_complex,5,1,50201,50201150604,4,23.115364121963907,,,main_mixed_complex_s5_q1
mixed_complex,5,2,50202,50202150608,4,23.05265466424367,,,main_mixed_complex_s5_q2
mixed_complex,5,3,50203,50203150612,4,22.946673114336903,,,main_mixed_complex_s5_q3
mixed_complex,5,4,50204,50204150616,4,23.119815813720173,,,main_mixed_complex_s5_q4
mixed_complex,5,5,50205,50205150620,4,22.927864121963907,,,main_mixed_complex_s5_q5
mixed_complex,5,6,50206,50206150624,4,23.134173114336903,,,main_mixed_complex_s5_q6
mixed_complex,5,7,50207,50207150628,4,23.240080392189157,,,main_mixed_complex_s5_q7
mixed_complex,5,8,50208,50208150632,4,23.24453208394543,,,main_mixed_complex_s5_q8
mixed_complex,5,9,50209,50209150636,4,22.78172297435391,,,main_mixed_complex_s5_q9
mixed_complex,6,0,60200,60200180600,4,22.90176631659535,,,main_mixed_complex_s6_q0
mixed_complex,6,1,60201,60201180604,4,23.009456844111654,,,main_mixed_complex_s6_q1
mixed_complex,6,2,60202,60202180608,4,23.17765466424367,,,main_mixed_complex_s6_q2
mixed_complex,6,3,60203,60203180612,4,22.96922297435391,,,main_mixed_complex_s6_q3
mixed_complex,6,4,60204,60204180616,4,22.865438394018412,,,main_mixed_complex_s6_q4
mixed_complex,6,5,60205,60205180620,4,23.134173114336903,,,main_mixed_complex_s6_q5
mixed_complex,6,6,60206,60206180624,4,23.17765466424367,,,main_mixed_complex_s6_q6
mixed_complex,6,7,60207,60207180628,4,22.821956844111654,,,main_mixed_complex_s6_q7
mixed_complex,6,8,60208,60208180632,4,23.134173114336903,,,main_mixed_complex_s6_q8
mixed_complex,6,9,60209,60209180636,4,23.11953208394543,,,main_mixed_complex_s6_q9
mixed_complex,7,0,70200,70200210600,4,22.927938394018412,,,main_mixed_complex_s7_q0
mixed_complex,7,1,70201,70201210604,4,23.009456844111654,,,main_mixed_complex_s7_q1
mixed_complex,7,2,70202,70202210608,4,23.08926631659535,,,main_mixed_complex_s7_q2
mixed_complex,7,3,70203,70203210612,4,23.057611322002224,,,main_mixed_complex_s7_q3
mixed_complex,7,4,70204,70204210616,4,23.17765466424367,,,main_mixed_complex_s7_q4
mixed_complex,7,5,70205,70205210620,4,23.0715988422824,,,main_mixed_complex_s7_q5
mixed_complex,7,6,70206,70206210624,4,23.009456844111654,,,main_mixed_complex_s7_q6
mixed_complex,7,7,70207,70207210628,4,22.946673114336903,,,main_mixed_complex_s7_q7
mixed_complex,7,8,70208,70208210632,4,23.18232759222748,,,main_mixed_complex_s7_q8
mixed_complex,7,9,70209,70209210636,4,22.964192044540845,,,main_mixed_complex_s7_q9
