scenario,training_seed,evaluation_episode,evaluation_seed,robot_random_seed,robot_id,nominal_start_x,nominal_start_y,nominal_start_yaw,realized_start_x,realized_start_y,realized_start_yaw,fixed_goal_x,fixed_goal_y,euclidean_distance_m,astar_path_length_m,astar_waypoint_count,planner_name,planner_config_hash
static_clutter,0,4,4,4000016,robot_1,-5.0,-4.0,0.6747,-5.0014250343762345,-3.969528127450992,0.5644672558848142,5.0,4.0,12.78834943581384,20.662310562561768,24,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,4,4,4000016,robot_2,-5.0,4.0,-0.6747,-5.015419713409902,3.9665687530668032,-0.7746633068144788,5.0,-4.0,12.797454814653577,22.0003776456267,31,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,4,4,4000016,robot_3,5.0,-4.0,2.4669,5.014870812648721,-4.0263986603950155,2.515103095977031,-5.0,4.0,12.83435673688534,21.935674931802915,26,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,4,4,4000016,robot_4,5.0,4.0,-2.4669,5.0336668587520625,3.998594200320902,-2.6091442008716212,-5.0,-4.0,12.831678760545195,20.852319033204637,24,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,5,5,5000020,robot_1,-5.0,-4.0,0.6747,-4.963029270696656,-3.995112581043725,0.7107811827703623,5.0,4.0,12.774340586986163,20.662310562561768,24,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,5,5,5000020,robot_2,-5.0,4.0,-0.6747,-5.023290113303606,3.994078409284148,-0.5508687760488715,5.0,-4.0,12.820750146119874,21.5003776456267,30,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,5,5,5000020,robot_3,5.0,-4.0,2.4669,5.003048999733417,-4.049446652562958,2.5122128494959313,-5.0,4.0,12.839570892499667,21.935674931802915,26,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,5,5,5000020,robot_4,5.0,4.0,-2.4669,4.962029038572499,4.011133719313965,-2.360615501801855,-5.0,-4.0,12.783594409793002,21.102319033204637,25,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,6,6,6000024,robot_1,-5.0,-4.0,0.6747,-5.002528366806047,-3.952180823660735,0.815315475795949,5.0,4.0,12.778409665563128,20.662310562561768,24,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,6,6,6000024,robot_2,-5.0,4.0,-0.6747,-5.044106663853915,4.0328190185277295,-0.7744538597291496,5.0,-4.0,12.861192015489676,21.7503776456267,30,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,6,6,6000024,robot_3,5.0,-4.0,2.4669,5.029011529490229,-4.009154428928604,2.3588573030744535,-5.0,4.0,12.834626092141315,21.435674931802915,25,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,6,6,6000024,robot_4,5.0,4.0,-2.4669,4.966737215237611,4.013601193786327,-2.3185652408084705,-5.0,-4.0,12.78880974956841,21.102319033204637,25,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
