record_id,protocol_id,scenario,scenario_index,method,training_seed,evaluation_episode_index,evaluation_seed_e,robot_random_seed,pedestrian_random_seed,robot_count,pedestrian_present,max_steps,control_step_s,safety_envelope,deterministic_action,start_xy_perturbation_m,start_yaw_perturbation_rad,pedestrian_phase_min_s,pedestrian_phase_max_s,pedestrian_speed_factor_min,pedestrian_speed_factor_max,successful_robots,fully_successful_episode,collision_episode,rr_collision_count,rp_collision_count,obstacle_collision_count,timeout_failure_count,deadlock_failure_count,rr_near_miss_count,rp_near_miss_count,average_completion_time_s,makespan_s,flowtime_s,average_waiting_time_s,average_path_length_m,astar_reference_path_length_m,executed_to_astar_ratio,trajectory_straightness,turning_per_m_rad_per_m,sharp_turn_count,min_rr_center_distance_m,min_rp_center_distance_m,safety_filter_intervention_count,safety_filter_evaluated_command_count,intervention_ratio,mean_normalized_intervention_magnitude,max_normalized_intervention_magnitude,pre_filter_min_pred_rr_distance_m,pre_filter_min_pred_rp_distance_m,pre_filter_rr_risk_observation_count,pre_filter_rp_risk_observation_count,mean_policy_inference_time_ms,p95_policy_inference_time_ms,mean_control_step_time_ms,episode_wall_time_s,real_time_factor,checkpoint_sha256,source_commit,config_sha256
main__static_clutter__IPPO__seed1__ep00,main_comparison,static_clutter,0,IPPO,1,0,10000,10000030000,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,35.258256,39.516929,141.033026,1.470122,17.291655,21.4252,0.8071,0.725719,0.988968,2,0.667863,N/A,541,1871,0.28915018706574,0.105895,1.013985,0.567683,,352,,1.0056,1.4908,1.1825,36.8775,0.952381,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed1__ep01,main_comparison,static_clutter,0,IPPO,1,1,10001,10001030004,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,36.445845,38.696106,145.783379,1.807961,17.883432,21.3627,0.8371,0.732191,0.978039,1,0.648749,N/A,423,1431,0.295597484276729,0.124678,0.984015,0.551437,,285,,0.9427,1.5724,1.1106,37.2429,0.952381,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed1__ep02,main_comparison,static_clutter,0,IPPO,1,2,10002,10002030008,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,33.901991,39.932483,135.607963,2.323463,18.002977,21.4252,0.8403,0.73617,0.951756,0,0.649913,N/A,353,1162,0.303786574870912,0.115668,1.013985,0.552426,,253,,0.7329,1.809,1.2115,37.2373,0.952381,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed1__ep03,main_comparison,static_clutter,0,IPPO,1,3,10003,10003030012,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,39.231969,39.438129,156.927875,1.525621,17.878292,21.4252,0.8345,0.737144,0.981695,1,0.668925,N/A,394,1338,0.294469357249626,0.110974,0.984015,0.568586,,265,,0.9432,1.8892,1.1232,39.6286,0.952381,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed1__ep04,main_comparison,static_clutter,0,IPPO,1,4,10004,10004030016,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,35.248754,36.107278,140.995015,2.199397,17.901151,21.4252,0.8355,0.735091,0.960011,1,0.626083,N/A,437,1460,0.299315068493151,0.10536,1.013985,0.53217,,385,,0.7696,1.6296,1.2774,33.9801,0.952381,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed1__ep05,main_comparison,static_clutter,0,IPPO,1,5,10005,10005030020,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,33.545839,40.232571,134.183357,2.049734,17.480415,21.3002,0.8207,0.752553,0.991614,3,0.613851,N/A,489,1769,0.276427360090447,0.126957,0.984015,0.521774,,211,,0.858,1.4538,1.2884,39.2809,0.952381,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed1__ep06,main_comparison,static_clutter,0,IPPO,1,6,10006,10006030024,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,34.727872,37.618419,138.911489,1.723136,16.662505,21.3627,0.78,0.720305,0.910484,2,0.67623,N/A,486,1781,0.272880404267266,0.126586,1.013985,0.574796,,251,,0.9584,1.5841,1.1922,36.1581,0.952381,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed1__ep07,main_comparison,static_clutter,0,IPPO,1,7,10007,10007030028,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,38.118398,40.008864,152.473592,1.48685,17.416435,21.3002,0.8177,0.731421,0.808675,1,0.675459,N/A,480,1713,0.280210157618214,0.125387,0.984015,0.57414,,206,,0.7721,1.7733,1.2511,38.0439,0.952381,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed1__ep08,main_comparison,static_clutter,0,IPPO,1,8,10008,10008030032,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,34.211574,36.913292,136.846295,1.653845,17.571889,21.2377,0.8274,0.724498,1.028837,1,0.624508,N/A,434,1380,0.314492753623188,0.106663,1.013985,0.530832,,281,,0.7722,1.5124,1.1536,38.4683,0.952381,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed1__ep09,main_comparison,static_clutter,0,IPPO,1,9,10009,10009030036,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,32.779036,38.232251,131.116143,2.228539,17.221249,21.1127,0.8157,0.723817,1.028277,1,0.653792,N/A,448,1425,0.314385964912281,0.126325,0.984015,0.555723,,225,,0.7662,1.3573,1.1505,36.8524,0.952381,e0b2796ebf931dd4fdf6b934cfc38179614566baee33a14d4e9368b6a9488599,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed2__ep00,main_comparison,static_clutter,0,IPPO,2,0,20000,20000060000,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,39.001017,39.965683,156.004067,1.744725,16.925475,21.1127,0.8017,0.74549,1.106983,1,0.688035,N/A,545,1819,0.299615173172073,0.113231,1.013985,0.58483,,232,,0.8176,1.5257,1.3935,36.7431,0.952381,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed2__ep01,main_comparison,static_clutter,0,IPPO,2,1,20001,20001060004,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,35.89684,38.306006,143.587362,1.936577,17.322581,21.3627,0.8109,0.765895,1.057229,2,0.661778,N/A,619,2199,0.281491587085039,0.099196,0.984015,0.562511,,251,,0.8005,1.5411,1.1745,37.7732,0.952381,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed2__ep02,main_comparison,static_clutter,0,IPPO,2,2,20002,20002060008,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,33.354096,37.183082,133.416383,2.051398,17.573302,21.3627,0.8226,0.741701,0.932202,1,0.703209,N/A,355,1368,0.259502923976608,0.109717,1.013985,0.597728,,206,,0.8879,1.3528,1.4613,36.1613,0.952381,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed2__ep03,main_comparison,static_clutter,0,IPPO,2,3,20003,20003060012,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,36.701261,38.686684,146.805042,1.896998,17.412713,21.5502,0.808,0.745977,1.060981,1,0.658416,N/A,506,1932,0.261904761904762,0.108831,0.984015,0.559654,,290,,0.937,1.8387,1.2657,36.865,0.952381,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed2__ep04,main_comparison,static_clutter,0,IPPO,2,4,20004,20004060016,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,35.542505,38.017301,142.170019,1.926737,17.227366,21.3002,0.8088,0.732647,0.921482,3,0.65648,N/A,547,1976,0.276821862348178,0.109611,1.013985,0.558008,,188,,0.81,1.6858,1.1512,39.2611,0.952381,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed2__ep05,main_comparison,static_clutter,0,IPPO,2,5,20005,20005060020,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,38.370395,38.667633,153.48158,1.294291,17.344094,21.1752,0.8191,0.749882,1.172404,2,0.658786,N/A,544,2034,0.267453294001966,0.112182,0.984015,0.559968,,235,,0.8265,1.3612,1.1374,37.588,0.952381,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed2__ep06,main_comparison,static_clutter,0,IPPO,2,6,20006,20006060024,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,34.473577,39.006041,137.894307,1.992714,17.576881,21.1127,0.8325,0.747643,1.052472,1,0.645459,N/A,451,1603,0.281347473487212,0.120417,1.013985,0.54864,,277,,0.811,1.599,1.1272,39.4837,0.952381,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed2__ep07,main_comparison,static_clutter,0,IPPO,2,7,20007,20007060028,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,34.504805,38.814113,138.019219,1.31243,16.640029,21.2377,0.7835,0.731586,1.020251,2,0.651454,N/A,408,1396,0.292263610315186,0.108966,0.984015,0.553736,,271,,0.7954,1.3535,1.1881,36.1744,0.952381,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
main__static_clutter__IPPO__seed2__ep08,main_comparison,static_clutter,0,IPPO,2,8,20008,20008060032,,4,0,1800,0.1,ON,1,0.05,0.15,N/A,N/A,N/A,N/A,4,1,0,0,0,0,0,0,0,N/A,37.617296,38.09467,150.469185,1.862688,17.087514,21.1127,0.8093,0.739743,0.994598,2,0.670708,N/A,374,1446,0.258644536652835,0.12117,1.013985,0.570102,,304,,0.7069,1.5362,1.3142,38.1502,0.952381,7664b87f463a816a175c46705ffe15c4a380bc1ca435ebacac363077740341ee,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7
