checkpoint_key,experiment_group,method_or_variant,scenario,training_seed,training_episodes,validation_points,selected_training_episode,checkpoint_relative_path,checkpoint_sha256,source_commit,config_sha256,selection_score_text,release_in_public_repo
main__dynamic_pedestrians__IPPO__seed4,main,IPPO,dynamic_pedestrians,4,100,20,85,checkpoints/IPPO/dynamic_pedestrians/seed4_ep85.pt,649d968c6bc85cf4f2668400cf24732f884cf8691925ae67142d2fe815735db4,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=26.37",no
main__dynamic_pedestrians__IPPO__seed5,main,IPPO,dynamic_pedestrians,5,100,20,95,checkpoints/IPPO/dynamic_pedestrians/seed5_ep95.pt,220f2150ebd6d42971c33b968dbbdae82bedb7d505f59246a34cfd6cd75a7756,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=26.31",no
main__dynamic_pedestrians__IPPO__seed6,main,IPPO,dynamic_pedestrians,6,100,20,90,checkpoints/IPPO/dynamic_pedestrians/seed6_ep90.pt,65af418f1e27017063ed5793bfdd7f777e76f37b9dd9a330382a7045a4598fe6,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=26.29",no
main__dynamic_pedestrians__IPPO__seed7,main,IPPO,dynamic_pedestrians,7,100,20,95,checkpoints/IPPO/dynamic_pedestrians/seed7_ep95.pt,a8fba2f91b95c40e8dfb0408da18e13ab01a442adb4c7fc6e64b89deaeb90ede,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=26.69",no
main__mixed_complex__IPPO__seed0,main,IPPO,mixed_complex,0,100,20,100,checkpoints/IPPO/mixed_complex/seed0_ep100.pt,c816a0a2e474f564c26022ff443412bd615571fb63f1a522a6a48f17f6ef3913,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=40.39",no
main__mixed_complex__IPPO__seed1,main,IPPO,mixed_complex,1,100,20,85,checkpoints/IPPO/mixed_complex/seed1_ep85.pt,1fbd01db609cb367b8689493c2daa4c3e64028a2d4fbec6dc09bb85029d13841,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=40.08",no
main__mixed_complex__IPPO__seed2,main,IPPO,mixed_complex,2,100,20,100,checkpoints/IPPO/mixed_complex/seed2_ep100.pt,fb66774708e955e5a7f4e731e254741a468abdc67e7b99439b86acb740233df2,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=40.13",no
main__mixed_complex__IPPO__seed3,main,IPPO,mixed_complex,3,100,20,95,checkpoints/IPPO/mixed_complex/seed3_ep95.pt,ce169a520d3f3260d6f6ed9538e6c51d338945ce69aa96ca2ea184f582061d30,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=39.59",no
main__mixed_complex__IPPO__seed4,main,IPPO,mixed_complex,4,100,20,85,checkpoints/IPPO/mixed_complex/seed4_ep85.pt,02e1ff865f48369c6b477c97fb98429805282c6f474c49949d06095819b7263a,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=40.18",no
main__mixed_complex__IPPO__seed5,main,IPPO,mixed_complex,5,100,20,85,checkpoints/IPPO/mixed_complex/seed5_ep85.pt,8cbb86c59a476f4897551199b5550973b5d2c7f74f478ce620d61d091c039f9b,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=39.56",no
